des of
charbon charcoal
maxi max
maxi maxi
agir acting
agir act
financement financing
financement funding
financement finance
financement fundraising
uefa uefa
soutenir supporting
traducteur translator
traducteur translators
ambassade embassy
autrement otherwise
miami miami
propositions proposals
propositions propositions
dur tough
dur hard
dur badass
constante constant
inclus included
two two
montant amount
journalistes reporters
journalistes journalists
incluant including
miguel miguel
marbre marble
sicile sicily
trait trait
clients customers
clients clients
souvenirs memories
souvenirs memory
souvenirs souvenirs
bad bad
bad afdb
insectes insects
insectes bugs
insectes insect
prisonnier prisoner
prisonnier inmate
edmond edmund
edmond edmond
interdiction prohibition
interdiction ban
transition transition
transition transitional
durable sustainable
durable durable
mar mar
mar tue
intelligence intelligence
photographies photographs
photographies photos
payer paying
payer pay
chaleur heat
chaleur warmth
catalogne catalonia
blog blog
square square
municipales municipal
urgence urgency
urgence emergency
qualifie qualifies
passent pass
loisirs recreation
loisirs leisure
lambert lambert
liquide liquid
gary gary
havre havre
officiels official
officiels officials
femelle female
achat purchase
achat buy
achat purchasing
achat buying
camps camps
camps camp
marques brands
marques marques
marques trademarks
marques marks
boulogne boulogne
gallo gallo
solutions solutions
gaulle gaulle
rev rev
traiter treat
graves serious
graves severe
graves graves
cuba cuba
testament testament
attaquer attack
attaquer attacking
contribuer contributing
contribuer contribute
seize sixteen
alphabet alphabet
jordan jordan
campus campus
pie pius
pie pie
pie magpie
dis say
dis dis
vues views
solide solid
philip philip
fiat fiat
masculine masculine
charges charges
charges loads
bureaux offices
bureaux office
ajout addition
ajout adding
ajout add
ajout added
dave dave
mourir die
mourir dying
financier financial
personnelles personal
nelson nelson
conte tale
conte conte
shorts shorts
horreur horror
manifeste manifesto
manifeste manifest
pirates pirates
pirates hackers
pirates pirate
occident west
reich reich
assaut assault
acquisition acquisitions
acquisition acquisition
inclut include
inclut includes
certainement certainly
certainement definitely
revues magazines
revues journals
morale moral
morale morals
morale morality
nobel nobel
natale natale
adultes adults
adultes adult
spectacles performances
spectacles shows
voisine neighbour
voisine neighbouring
voisine neighbor
alternative alternative
trace trace
ours bears
ours bear
portraits portraits
wild wild
chevaliers knights
chevaliers chevaliers
chevaliers knight
bla blah
bla bla
loir loir
normes norms
normes standards
navale navale
navale naval
navale shipbuilding
pauvres poor
refuge refuge
nourriture food
participant participating
participant contestant
participant participant
facteurs factors
balle ball
balle bullet
dynamique dynamics
dynamique dynamic
partenaire partner
ross ross
boris boris
branches branches
aragon aragon
batailles battles
alpin alpin
alpin alpine
colin colin
management management
consulter consult
atp atp
gironde gironde
remix remix
remix remixes
biais bias
fra fra
fra eng
identique identical
identique same
cheveux hair
varie vary
varie varies
fournit provides
respecter respecting
respecter respect
apparemment apparently
bbc bbc
trio threesome
trio trio
communistes communists
communistes communist
lourd heavy
lourd heavyweight
obligatoire obligatory
obligatoire required
obligatoire mandatory
obligatoire compulsory
dordogne dordogne
moore moore
reconnue recognised
reconnue acknowledged
reconnue recognized
explosion blast
explosion explosion
augmente increases
existait existed
esclaves slave
esclaves slaves
nathalie natalie
nathalie nathalie
quentin quentin
physiques physical
culturels cultural
sec dry
sec sec
indice index
indice clue
indice hint
comtesse countess
paysans peasants
parisienne parisienne
parisienne parisian
complexes complexes
complexes complex
noyau kernel
noyau nucleus
noyau core
germanique germanic
santiago santiago
flux stream
flux flow
flux flows
flux flux
courants currents
sportifs athletes
forts strong
forts forts
ohio ohio
familiale family
motifs motives
motifs grounds
lisbonne lisbon
fleur blossom
fleur flower
fleur fleur
dizaines tens
dizaines dozens
dizaines dozen
turc turkish
tirer shoot
tirer pull
tirer shooting
navarre navarre
navarre navarra
hambourg hamburg
envoyer send
morgan morgan
oblast oblast
micro micro
micro microphone
micro mic
oriental oriental
oriental eastern
wilaya wilaya
consul consul
lourdes lourdes
logiciels software
paradis heaven
paradis paradise
ian ian
anjou anjou
entendre hear
entendre hearing
constantin constantin
constantin constantine
constantin konstantin
embouchure mouth
embouchure mouthpiece
embouchure embouchure
bonheur bonheur
bonheur happiness
moine monk
moine moine
arm arm
oliver oliver
conclusion concluding
conclusion conclusion
franck frank
franck franck
stockholm stockholm
accent accent
cuivre copper
cuivre brass
per per
concile synod
cents cents
ferrari ferrari
apostolique apostolic
grosse big
grosse grosse
viande meat
viande meats
communications communications
romancier novelist
probable likely
probable probable
ken ken
escalier stairway
escalier staircase
escalier stair
escalier stairs
diable devil
diable diable
argentin argentinean
argentin argentinian
argentin argentine
herbert herbert
berne bern
berne berne
roberto roberto
chante sing
chante sings
jerry jerry
talent talent
natation swim
natation swimming
apprendre learning
apprendre learn
sols soil
sols floors
sols flooring
sols soils
ardenne ardennes
ardenne ardenne
castille castile
castille castilla
castille castille
client customer
client client
syndrome syndrome
restes remains
restes leftovers
alcool alcohol
elena elena
elena yelena
passages crossings
passages passages
passages passageways
centaine hundred
centaine hundreds
inspiration inspiration
sombre dark
lourds heavy
habituellement usually
habituellement typically
vainqueurs winners
vainqueurs victors
dead dead
racine root
racine roots
racine racine
lecteurs readers
roux redhead
roux rufous
roux roux
roux red
roux ginger
vingtaine vingtaine
illustration illustration
ultime ultimate
pseudo username
pseudo nickname
pseudo pseudo
constructions constructions
accompagne accompanies
variations variations
variations variation
descente descent
descente downhill
magasin shop
magasin store
landes landes
neuve newfoundland
punk punk
sucre sucre
sucre sugar
manifestation protest
manifestation demonstration
manifestation manifestation
gold gold
cite cite
cite quote
symphonie symphony
adulte adult
adulte adults
explication explanation
biographique biographical
vendus sold
trad trad
variante variant
variante variation
redirection redirect
redirection redirection
redirection redirecting
tomber falling
tomber fall
roches rocks
stone stone
duchesse duchess
abraham abraham
couvert covered
couvert overcast
couvert hedged
cahiers notebooks
cahiers booklets
cahiers cahiers
logement accommodation
phases phases
tribus tribes
vraie real
vraie true
astronome astronomer
graveur engraver
graveur burner
contemporains contemporary
wikimedia wikimedia
battant flying
battant beating
carter carter
francfort frankfurt
circonscriptions constituencies
experts experts
attentat attack
attentat bombing
arles arles
colorado colorado
feuille leaf
feuille sheet
difficiles hard
difficiles difficult
coupes cuts
coupes cups
douce sweet
douce gentle
douce freshwater
douce soft
remarquables notable
remarquables remarkable
remarquables outstanding
contraint forced
contraint constrained
contraint coerced
dep dep
michigan michigan
descendants descendents
descendants descendants
khan khan
indre indre
quasiment almost
quasiment virtually
quasiment practically
finlandais finnish
finlandais finns
intervenir intervening
intervenir intervene
enfer hell
districts districts
inutile useless
inutile unnecessary
comique comique
comique comedian
comique comic
comique comedy
bell bell
manuscrits scrolls
manuscrits manuscript
manuscrits manuscripts
atlanta atlanta
essence petrol
essence essence
essence gasoline
fins endings
administratives administrative
provenance provenance
vancouver vancouver
orthographe spelling
orthographe spell
lucas lucas
biologie biology
massachusetts massachusetts
essayer try
essayer trying
cellule cell
fou insane
fou crazy
fou mad
accepter accepting
accepter accept
heinrich heinrich
courage courage
courage bravery
moulins windmills
moulins mills
moulins moulins
humour humor
humour humour
banques banks
banques banking
banques bank
justement precisely
battre beat
battre beating
clavier keypad
clavier keyboard
cologne cologne
positif positive
positif positives
minnesota minnesota
plume nib
plume feather
plume plume
plume pen
plume quill
alimentaire food
paysages landscapes
paysages landscape
barry barry
kansas kansas
garros garros
dissolution dissolution
dissolution dissolving
marchandises goods
marchandises freight
marchandises merchandise
fichiers files
patrice patrice
pratiquement almost
pratiquement virtually
pratiquement practically
disparue disappeared
quatorze fourteen
visibles visible
norman norman
tirant pulling
allier allier
xviie seventeenth
leipzig leipzig
dites say
fernand fernand
bonaparte bonaparte
promouvoir promote
promouvoir promoting
observations remarks
observations observations
observations comments
rural rural
codes codes
warner warner
malade ill
malade sick
arena arena
imprimerie printing
voulu wanted
perspective prospect
perspective outlook
perspective perspective
edgar edgar
doctrine doctrine
walt walt
militant militant
militant activist
tourner turn
tourner rotate
tourner spin
sultan sultan
abandonne abandon
liban liban
liban lebanon
routier road
hermann hermann
hermann herman
sociologie sociology
messages messages
ballet ballet
onu un
ernst ernst
connait knows
effort effort
stuart stuart
implique implies
jette throws
jette jette
index index
index indexes
entend hears
veulent want
documentation documentation
enregistre record
bouche lips
bouche mouth
bouche mouths
queen queen
lyonnais lyonnais
lyonnais lyon
lyonnais lyons
blessure injury
blessure wound
fine fine
bourgeois bourgeois
statues statues
anneau ring
chambres bedrooms
chambres rooms
chambres room
youtube youtube
xii xii
pire worst
pire worse
profite enjoy
terminus terminus
onde onde
onde wave
retourner return
abc abc
masque masque
masque mask
combattre combat
combattre fight
ouvrier worker
gloire fame
gloire glory
ressemble resembles
basses basses
basses low
archive archive
monter mount
apparait appears
causes causes
papillon butterfly
papillon moth
papillon papillon
comparaison comparison
comparaison compare
panneaux billboards
panneaux panels
panneaux signs
illustre illustrates
illustre illustrious
automatiquement automatically
pousse push
pousse grows
luigi luigi
mondiaux global
grant grant
globe globe
procureur prosecutor
ardennes ardennes
atlas atlas
caisse caisse
caisse crate
ballon balloon
ballon ball
ballon ballon
endroits places
choc shock
ondes vibes
ondes airwaves
ondes waves
romantique romance
romantique romantic
frappe strike
frappe hits
philippines philippines
philippines philippine
quotidienne everyday
quotidienne daily
islamique islamic
anonyme anonymous
anonyme anonyme
applique applies
assurance insurance
audience audience
audience hearing
phil phil
helsinki helsinki
manager manager
lawrence lawrence
unesco unesco
littoral littoral
littoral coastline
littoral coastal
danny danny
module module
bonus bonus
bonus bonuses
hot hot
disant saying
uci uci
rocher boulder
rocher rocher
garnison garrison
islande iceland
janeiro janeiro
sculptures sculpture
sculptures sculptures
investissement investing
investissement investment
investissement investments
absolument absolutely
incident incident
concerto concerto
adversaires adversaries
adversaires opponents
compagnon companion
compagnon journeyman
chroniques chronicle
chroniques chronic
chroniques chroniques
chroniques chronicles
tue kills
tue kill
tue slays
paolo paolo
radical radical
partenariat partnership
berger berger
berger shepherd
cache cache
cache hide
cache hides
œufs eggs
œufs egg
tentatives attempted
tentatives attempts
emma emma
blanches white
miles miles
demandes applications
demandes requests
distinguer distinguish
distinguer distinction
distinguer distinguishing
boxe boxing
pair peer
pair pair
industriels industrial
tarn tarn
compagnons companions
challenge challenge
adolphe adolph
adolphe adolphe
adolphe adolf
serpent snake
serpent serpent
chimiques chemical
chimiques chemicals
jeudi thursday
livret booklet
livret libretto
noires black
noires noires
georg georg
amont upstream
individuelle individually
individuelle detached
individuelle individual
parker parker
isaac isaac
foyer foyer
foyer fireplace
comtes counts
comtes earls
invite prompt
invite invite
invite invites
anges angels
anges angel
rencontrer meet
attente waiting
virginia virginia
restant remaining
rassemble gathers
symboles symbols
symboles symbol
vols flights
murray murray
racines root
racines roots
houston houston
accueilli welcomed
accueilli hosted
feux fires
feux lamps
parfait perfect
roumain romanian
affluents tributaries
mali mali
repos rest
gardes guards
gardes gardes
gardes guard
gand ghent
gand gent
gand gand
romane romanesque
romane romane
vents winds
vents wind
rap rap
circulaire circular
vive vive
fribourg freiburg
fribourg fribourg
assistance assistance
assistance support
uruguay uruguay
suzanne suzanne
coloniale colonial
adams adams
permanente permanent
wayne wayne
malte malta
spider spider
ahmed ahmed
anton anton
citation quote
citation citation
citation quotation
loiret loiret
indiens indians
indiens indian
gallery gallery
appliquer apply
appliquer enforce
traditionnellement traditionally
tournant rotating
tournant turning
offrir offering
offrir offer
tests tests
tests testing
suisses swiss
arr arr
faibles weak
faibles low
arnold arnold
julia julia
industries industries
destin destiny
destin fate
destin destin
angel angel
invention invention
ottawa ottawa
podium podium
professeurs professors
professeurs teachers
professeurs faculty
emplois employment
emplois jobs
confusion confusion
confusion confusing
paroisses parishes
personnellement personally
crimes crimes
autrichienne austrian
nobles noble
nobles nobles
exprimer express
exprimer expressing
vendre sell
vendre selling
maintenance maintenance
vicomte vicomte
vicomte viscount
session session
marshall marshall
sorbonne sorbonne
lang lang
indienne indian
inc inc
just just
passa passa
suites suites
alentours surroundings
inauguration inauguration
pietro pietro
chœurs chorus
chœurs choir
chœurs choirs
colons colonists
colons settlers
colons colons
ferrand ferrand
arsenal arsenal
adrien adrien
adrien adrian
larry larry
majoritairement predominantly
policiers policemen
policiers police
armement arming
armement armament
armement weapons
armement armaments
armement weaponry
exprime expresses
ailier wingman
ailier wing
ailier winger
off off
mayenne mayenne
marion marion
robe dress
golf golf
baker baker
normalement normally
jay jay
stewart stewart
adq adq
sint sint
similaires similar
sage wise
sage sage
vaisseaux ships
vaisseaux vessels
lions lions
lionel lionel
particules particles
particules particulates
particules particle
baby baby
soprano soprano
kennedy kennedy
harris harris
shakespeare shakespeare
masters masters
coureurs racers
coureurs riders
coureurs runners
extraits extracts
extraits extract
extraits excerpts
cadet cadet
triomphe triumphs
triomphe triumph
tribune tribune
tribune rostrum
hip hip
down down
pau pau
mineurs minors
mineurs miners
dei dei
commis clerks
commis clerk
commis committed
faciliter facilitating
faciliter facilitate
aval aval
aval downstream
montrant showing
physicien physician
physicien physicist
immense immense
immense huge
bobby bobby
opposant opponent
dangereux dangerous
dangereux hazardous
dangereux unsafe
modes modes
modes fashions
fief fief
adoption adoption
robinson robinson
usines factories
panneau billboard
panneau sign
panneau panel
pomme apple
inscriptions inscriptions
inscriptions registrations
messieurs gentlemen
messieurs messieurs
nil nil
nil nile
rosa rosa
bologne bologna
seed seed
justification justification
justification rationale
saga saga
salvador salvador
volant flying
dents teeth
dents tooth
dents dents
australienne aussie
australienne australian
may may
tommy tommy
richesse riches
richesse wealth
richesse richness
acquiert acquires
ports harbours
ports ports
indes india
terry terry
mardi tuesday
sprint sprint
infrastructures infrastructure
infrastructures infrastructures
exploration exploration
travaillant working
matthew matthew
cerveau brain
cerveau brains
fabrique factory
fabrique manufactures
fabrique fabrique
arte arte
voter vote
voter voting
diplomate diplomat
diplomate diplomatic
maternelle maternal
maternelle maternelle
maternelle kindergarten
maternelle preschool
relatif relative
sommets summits
sommets peaks
dramaturge dramaturge
dramaturge playwright
urbaines urban
joan joan
collaborateur collaborator
collaborateur contributor
sentiment feeling
sentiment sentiment
architectes architect
architectes architects
transformer transforming
transformer transform
habitude habit
modeste humble
modeste modest
modeste modeste
interface interface
ludwig ludwig
marchands merchants
marcus marcus
ottoman ottoman
universal universal
imaginaire fantasy
imaginaire imaginary
microsoft microsoft
lens lens
bucarest bucharest
interventions speeches
interventions interventions
nage swim
arizona arizona
nuls null
satellites satellites
wrestling wrestling
commerciales commercial
resta resta
resta remained
circonstances circumstance
circonstances circumstances
chants chants
chancelier chancellor
gratte itchy
gratte skyscraper
heart heart
thermique thermal
thermique heat
partenaires partners
partenaires partner
tombeau tomb
bruit noise
devise currency
devise motto
universel universal
finir finish
annie annie
mercredi wednesday
limiter restrict
limiter limit
limiter limiting
sons sounds
sons sons
circuits circuits
circuits tours
mono mono
clinique clinic
clinique clinical
pennsylvanie pennsylvania
gouvernements government
gouvernements governments
cirque cirque
cirque circus
eddie eddie
progression progress
progression progression
cooper cooper
vichy vichy
tendances trends
dick dick
simone simone
thompson thompson
variantes variants
variantes variations
rochelle rochelle
aigle eagle
aigle aigle
namur namur
suspension suspension
royaumes realms
royaumes kingdoms
pen pen
gravure engraving
gravure etching
gravure burning
gravure gravure
corriger correction
corriger correct
rangs ranks
rangs rows
comprends understand
flag flag
dallas dallas
xvie sixteenth
xvie xvi
colonisation colonisation
colonisation colonization
pablo pablo
appeler call
appeler calling
fameux famous
religions religions
officielles official
volontaire voluntary
volontaire volunteer
lloyd lloyd
chaud hot
chaud warm
fans fans
aus aus
adjectifs adjectives
attraction attraction
tri tri
tri sort
tri sorting
abandonner abandon
abandonner discard
abandonner abort
abandonner quit
cruz cruz
symbolique symbolism
symbolique symbolic
attendant waiting
louvain leuven
louvain louvain
transforme transform
transforme transforms
patricia patricia
races breeds
way way
renaud renaud
renaud reginald
graham graham
digital digital
sensible sensitive
artistiques artistic
compositions compositions
walker walker
vertu vertu
vertu virtue
planches boards
planches planks
planches planches
rassemblement gathering
rassemblement rassemblement
rassemblement rally
messe messe
messe mass
jennifer jennifer
con con
obligation obligation
abri shelter
croit believes
franklin franklin
palestine palestine
chiens dogs
chiens dog
collabore collaborate
collabore collaborates
foule mob
foule crowds
foule crowd
suppose guess
suppose suppose
suppose assumes
priori priori
bryan bryan
impliquant implicating
impliquant implying
impliquant involving
registre register
registre registry
extraction extraction
confie entrust
confie entrusts
berry berry
froide cold
kurt kurt
eva eva
ensembles ensembles
ensembles sets
mentionne mentions
bulgare bulgarian
engager engaging
engager hire
engager engage
ordonnance ordinance
ordonnance prescription
morbihan morbihan
proprement cleanly
soul soul
mrs mrs
alpha alpha
abus misuse
abus abuse
abus abuses
tube tube
miroir mirror
acheter purchase
acheter buy
alberta alberta
observer observe
observer observing
rick rick
primaires primaries
primaires primary
hongroise hungarian
descendant descendent
descendant descending
descendant descendant
magie magic
fromage cheese
fromage fromage
indiana indiana
dut dut
conjoint spouse
turque turks
turque turkish
lie binds
chaire pulpit
traduire translating
traduire translate
identifier identifying
identifier identify
nov nov
protocole protocol
tirage draw
tirage drawing
galaxie galaxie
galaxie galaxy
blessures injury
blessures injuries
blessures wounds
jacqueline jacqueline
batteur drummer
batteur batter
roues wheel
roues wheels
stefan stefan
allan allan
harold harold
pauvre poor
enseignants teachers
copenhague copenhagen
rayonnement radiation
ordinaire regular
ordinaire ordinary
marines marines
alto alto
alto viola
sky sky
sergent sarge
sergent sergeant
retard late
retard delays
retard delayed
retard delay
maxime max
maxime maxine
maxime maxime
maxime maxim
cleveland cleveland
rebelles rebels
rebelles rebel
biologique biological
biologique organic
inventeur inventor
chars floats
chars tanks
chars chariots
couches layers
couches diapers
couches diaper
renforcer strengthen
renforcer reinforce
renforcer strengthening
manches sleeves
manches sleeve
profonde deep
profonde profound
brabant brabant
bach bach
coin corner
conventions conventions
identification identification
trouble trouble
trouble disturbance
trouble disorder
typique typical
kate kate
collines collines
collines hills
arcade arcade
delta delta
rafael rafael
collective collective
pakistan pakistan
yvelines yvelines
bloquer blocking
bloquer block
sant sant
socialistes socialists
socialistes socialist
kosovo kosovo
nordique nordic
nordique northern
preuves proof
preuves proofs
preuves evidence
afghanistan afghanistan
ncaa ncaa
helen helen
projection projection
projection screening
arbitres arbitrators
arbitres referee
arbitres referees
rives shores
rives rives
han han
synagogue synagogue
simpson simpsons
simpson simpson
calvados calvados
campbell campbell
tomes tomes
verdun verdun
courbe curved
courbe curve
courbe curves
pan pan
domine dominates
domine dominate
mercure mercury
mercure mercure
plomb lead
synonyme synonymous
synonyme synonym
gymnastique gymnastics
envie envy
envie craving
envie want
naturellement naturally
troyes troyes
polo polo
constellation constellation
annales annals
annales annales
diane diane
mitchell mitchell
ngc ngc
gagnant win
gagnant winner
gagnant winning
armoiries emblem
qualifications qualifying
qualifications qualifications
qualifications qualification
emploie employs
apparu appeared
commandes commands
commandes controls
commandes orders
mme ms
mme mrs
mickey mickey
africains africans
africains african
essaie try
mercedes mercedes
cartons boxes
kiev kyiv
kiev kiev
sac bag
arabie arabia
plaques plates
plaques plaques
dispositions provisions
johannes johannes
annexe appendix
annexe annex
hard hardcore
hard hard
ralph ralph
leo leo
traction traction
traction tensile
essor booming
cnrs cnrs
harvard harvard
chasseur fighter
chasseur hunter
chasseur chasseur
vend sells
java java
signer signing
signer sign
trou hole
trou trou
courrier courier
courrier mail
permanent permanent
nulle null
lorient lorient
neil neil
copa copa
ron ron
sondage poll
sondage survey
moon moon
inspire inspires
inspire inspire
tunisien tunisien
tunisien tunisian
hameaux hamlets
appartement apartment
diriger directing
lutter wrestle
lutter wrestling
constitutionnel constitutional
pure pure
rapides rapid
rapides rapids
rapides fast
rapides quick
pourcentage percentage
pourcentage percent
carrefour crossroad
carrefour intersection
carrefour carrefour
carrefour crossroads
traditionnels traditional
evans evans
alexandrie alexandria
patients patients
patients patient
susan susan
dublin dublin
harvey harvey
justin justin
dunkerque dunkerque
dunkerque dunkirk
couramment fluent
couramment fluently
patient patient
approximativement approximate
approximativement approximately
missouri missouri
roses roses
liga liga
robot robot
sony sony
turcs turks
turcs turkish
calcaire calcareous
calcaire limestone
fame fame
majoritaire majority
commerciaux commercial
stockage storage
civiles civil
civiles civilians
civiles civilian
traductions translation
traductions translations
url url
url urls
wright wright
jon jon
brut crude
brut gross
brut raw
pur pure
nœuds knots
nœuds nodes
foot foot
foot soccer
triangle triangle
pittsburgh pittsburgh
adopte adopts
propagande propaganda
convaincre convince
convaincre convincing
soin care
militants militants
militants activists
contacter contact
flamand flamand
flamand flanders
flamand flemish
hier yesterday
recettes recipes
recettes receipts
recettes revenue
quatuor quartet
clos enclosed
clos closed
clos clos
mexicain mexican
act act
oublier forgetting
oublier forget
conversion converting
conversion conversion
folie madness
folie folie
folie insanity
caire cairo
territoriales territorial
orne orne
dauphin dolphin
dauphin dauphin
martina martina
femelles females
femelles female
prototype prototype
dom dom
magasins shops
magasins stores
traditionnelles traditional
botaniste botanist
impulsion pulse
impulsion impulse
stuttgart stuttgart
luke luke
jorge jorge
dean dean
liverpool liverpool
bordure borders
bordure edge
bordure border
polytechnique polytechnique
polytechnique polytechnic
oct oct
marge margin
marge marge
vatican vatican
apparitions apparitions
apparitions appearances
apparitions sightings
bombe bomb
croate croatian
rachel rachel
shanghai shanghai
constant constant
byzantin byzantine
conduire drive
conduire driving
capture capture
capture capturing
capture screenshot
barra barra
cadres frames
cadres executives
magique magic
magique magical
timbres stamp
timbres stamps
lituanie lithuanian
lituanie lithuania
lituanie vilnius
valenciennes valenciennes
habitation habitation
chapitres chapters
paragraphe paragraph
adn adn
adn dna
bec bec
bec spout
bec beak
hachette hachette
hachette hatchet
situations situations
perdue lost
sexuelle sexual
gard gard
nathan nathan
wallon wallon
wallon walloon
semblable similar
forfait package
beaumont beaumont
austin austin
influences influences
fausse false
fausse fake
century century
gendarmerie gendarmerie
estonie estonia
majeurs majors
chypre cyprus
explorateur explorer
jun jun
dell dell
surfaces surfaces
sentiments sentiments
sentiments feelings
vitesses speed
vitesses gears
vitesses speeds
vigne vineyard
vigne vigne
vigne vine
vigne vines
brouillon draft
brouillon drafts
vilaine naughty
vilaine nasty
kings kings
puissante powerful
astronomie astronomy
escadron squadron
escadron squad
immatriculation registration
juridiction jurisdiction
terminer finish
terminer finishing
claviers keyboard
claviers keyboards
conclut concludes
mandats warrants
mandats mandates
sarthe sarthe
istanbul istanbul
laurence laurence
consacrer dedicate
consacrer devote
aviron rowing
aviron rower
aviron aviron
aviron oar
sorties exits
timbre stamp
mons mons
sean sean
arrondissements districts
arrondissements arrondissements
arrondissements boroughs
wolf wolf
notable notable
notable noticeable
doublage dubbing
louisiane louisiane
louisiane louisiana
professionnelles professional
absolue absolute
prime bonus
prime prime
prime premium
prime bounty
occupent occupy
liaisons liaisons
sonore sound
oracle oracle
age age
melbourne melbourne
sauvages wild
sauvages savages
vivants living
vivants alive
three three
bade baden
bade bade
catastrophe disaster
catastrophe catastrophe
citoyen citizen
thriller thriller
configuration setup
configuration configuration
configuration settings
bleus blue
bleus bruises
bleus blues
creuse dig
creuse creuse
creuse hollow
greg greg
nuits nights
lincoln lincoln
cavaliers horsemen
cavaliers riders
cavaliers cavaliers
char char
char chariot
cardiaque cardiac
volcan volcano
volcan volcan
kent kent
parlant talking
parlant speaking
grille grid
marvel marvel
voisines neighbors
voisines neighbours
voisines neighbouring
remarques notes
remarques comments
remarques remarks
tend tends
spirou spirou
sofia sofia
pat pat
variables variable
variables variables
vignoble vineyard
vignoble vineyards
vignoble winery
roue wheel
cavalier rider
cavalier cavalier
sierra sierra
retenu retained
navigateur navigator
navigateur browser
albin albin
organes organs
organes bodies
originaires originating
sylvain sylvain
provinciale provincial
provinciale provinciale
usages uses
fonctionnaires officials
bords edges
directrice director
directrice manager
fragments fragment
fragments fragments
seattle seattle
existant existing
bond bond
mulhouse mulhouse
missiles missiles
missiles missile
chercheur researcher
innovation innovation
ref ref
amy amy
turner turner
alternatif alternative
fortifications fortifications
jaunes yellow
burkina burkina
yonne yonne
sachant knowing
effectifs workforce
effectifs staffing
devraient should
his his
conrad conrad
rousseau rousseau
meyer meyer
stable steady
stable stable
terrestres terrestrial
correspondent correspond
symphonique symphony
symphonique symphonic
fonctionnaire official
catholicisme catholicism
rayons rays
rayons spokes
silva silva
bretonne brittany
bretonne breton
brevet patent
propulsion propulsion
mythe myth
mythe myths
faso faso
manger eating
manger eat
bouches mouths
mohammed mohammed
prochaine next
flammarion flammarion
philosophique philosophique
philosophique philosophical
philosophique philosophy
styles styles
europa europa
doubs doubs
nazis nazi
nazis nazis
guyane guiana
guyane guyana
rappeler recall
esprits spirits
esprits minds
talk talk
elisabeth elisabeth
aude aude
alexandra alexandra
assiste assists
assiste attends
andreas andreas
contiennent contain
mix mix
grandeur magnitude
grandeur greatness
grandeur grandeur
sound sound
immigration immigration
werner werner
airlines airlines
pollution pollution
garcia garcia
fayard fayard
marocain moroccan
accessibles accessible
revers lapel
revers setback
revers backhand
sergio sergio
calme calm
calme quiet
organe body
organe organ
signification meaning
signification significance
todd todd
debout up
duel duel
panama panama
enregistrements records
enregistrements recordings
enregistrements registrations
globale overall
hunter hunter
heureux happy
alaska alaska
entreprend undertakes
perdues lost
moments moments
illustrateur illustrator
perse persian
perse persia
perse perse
diesel diesel
indiquant indicating
phoenix phoenix
valley valley
erik erik
comprennent include
magic magic
peugeot peugeot
successifs successive
chapeau hats
chapeau hat
chapeau chapeau
vraisemblablement presumably
portait wore
comptant cash
ted ted
uniforme uniforms
uniforme uniform
serment oath
disciplines disciplines
portugaise portuguese
edition edition
scandale scandal
festivals festivals
wta wta
isle isle
sebastian sebastian
ducs dukes
ducs ducs
juliette juliette
juliette juliet
attribution allocation
attribution attribution
harmattan harmattan
protestants protestants
protestants protestant
arrestation arrest
cristal crystal
cristal cristal
combinaison jumpsuit
combinaison combination
combinaison combo
taxe tax
radar radar
malaisie malaysia
malaisie malaya
nominations appointments
nominations nominations
insurrection uprising
insurrection insurrection
insurrection insurgency
repas meals
repas meal
hesse hessen
hesse hesse
halle halle
luxe deluxe
luxe luxury
lorenzo lorenzo
grenade grenada
grenade pomegranate
grenade granada
grenade grenade
rob rob
casablanca casablanca
dennis dennis
mail mail
qualifier qualifier
qualifier qualifying
qualifier qualify
mobilier furnishings
mobilier furniture
compositeurs composers
compositeurs songwriters
artisans craftsmen
artisans artisans
cat cat
bourges bourges
strictement strictly
soccer soccer
ressort spring
marquer scoring
marquer mark
marquer score
chartres chartres
humides moist
humides humid
humides damp
humides wet
hof hof
contraintes constraints
cohen cohen
sarkozy sarkozy
pole pole
wagner wagner
devenus became
mondes worlds
truc thing
truc truc
salomon salomon
salomon solomon
barbe barbe
barbe beard
prouver proving
prouver prove
proposant proposing
dette debt
dream dream
moyennes average
moyennes medium
moyennes averages
meurthe meurthe
cru raw
cru cru
dessert dessert
dessert desserts
blake blake
nationaliste nationalist
nationaliste nationalistic
expert expert
normand normand
normand norman
attache attache
lourde heavy
holmes holmes
renard renard
renard fox
esclavage slavery
esclavage enslavement
esclavage bondage
video video
mississippi mississippi
ille ille
attire attracts
attire attract
graines seeds
graines seed
rtl rtl
nova nova
percussions percussion
percussions percussions
tueur killer
galeries galleries
galeries gallery
apparente apparent
provincial provincial
auxerre auxerre
munitions ammunition
munitions ammo
munitions munitions
divine divine
warren warren
observe observe
observe observes
bouddhisme buddhism
bouddhisme buddhist
fraction fraction
concepts concepts
harmonie harmony
magnus magnus
parlementaires mps
parlementaires parliamentarians
renseignements information
collins collins
blocs blocks
voulant wanting
bolivie bolivian
bolivie bolivia
immeubles buildings
localement locally
cerf cerf
cerf stag
cerf deer
courtes short
oblige oblige
oblige obliges
proportion proportion
palatinat palatinate
noces noces
noces wedding
sylvie sylvia
sylvie david
sylvie sylvie
sylvie susan
posthume posthumous
posthume posthumously
wolfgang wolfgang
bal bal
bal prom
mers seas
lost lost
johan johan
cbs cbs
reconstruit reconstructed
