年 year
客串 cameo
上游 upstream
紅外線 infrared
酶 enzymes
酶 enzyme
外部 outside
外部 exterior
外部 externally
可用 available
日本人 japanese
黑人 black
鹽 salt
浮 floating
向量 vector
向量 vectors
數碼 digital
態度 attitude
態度 attitudes
穆罕默德 muhammad
穆罕默德 mohammed
成分 ingredients
成分 ingredient
模特兒 models
模特兒 model
逐步 gradual
逐步 progressive
保羅 paul
防禦 defense
防禦 defensive
先前 previously
先前 earlier
先前 previous
推翻 overturn
嚴 yan
嚴 uhm
† †
簽名 sign
簽名 signed
簽名 signature
回歸 return
回歸 regression
定理 theorem
損失 loss
損失 losses
注入 injection
注入 inject
注入 infusion
獅 lion
推廣 promotions
推廣 promotion
推廣 promote
僧 monk
升級 upgraded
升級 upgrade
升級 upgrading
升級 upgrades
嘗試 try
嘗試 trying
嘗試 attempt
財政 fiscal
氣象 meteorology
氣象 meteorological
氣象 weather
隋 sui
人文 humanities
魚類 fish
造型 modeling
造型 styling
書籍 books
書籍 book
各國 countries
施工 construction
效率 efficiency
效率 efficiencies
六十 sixty
地域 geography
函數 function
函數 functions
勳章 medal
勳章 medals
為何 why
大橋 bridge
佐藤 sato
征服 conquest
征服 conquer
征服 conquering
整體 holistic
聚集 gathering
定位 locate
定位 positioning
弓 bows
弓 bow
專用 earmarked
專用 dedicated
芬蘭 finland
防守 defense
宣告 announcement
宣告 declare
宣告 proclamation
評價 evaluations
評價 evaluation
校友 alumni
校友 alumnus
蛋 eggs
蛋 egg
關閉 close
關閉 off
口徑 caliber
口徑 calibre
裁判 refs
裁判 referee
裁判 ref
科學家 scientist
科學家 scientists
臺中 taichung
小小 tiny
下方 below
下方 bottom
架構 architecture
葬 burial
共享 shared
共享 sharing
共享 share
共享 shares
累 tired
星期 week
星期 weeks
竣工 completion
指引 guide
加工 processing
斯洛伐克 slovakia
奏 kana
等待 waiting
等待 wait
恆 heng
山地 mountain
山地 mountainous
改良 improved
改良 improvement
改良 improvements
劇本 screenplay
劇本 script
發動機 engine
發動機 engines
發動機 motor
完美 perfect
完美 perfection
夏天 summer
氧 oxygen
借 borrowed
借 borrowing
借 borrow
借 lend
立陶宛 lithuania
聰 satoshi
縮寫 abbreviation
縮寫 initials
玫瑰 roses
玫瑰 rose
記憶 memories
記憶 memory
座位 seating
座位 seats
座位 seat
宣言 manifesto
宣言 declaration
田中 tanaka
期刊 journals
期刊 journal
期刊 periodicals
期刊 periodical
大規模 massive
合同 contracts
合同 contract
遊行 parade
遊行 procession
喜劇 comedy
楠 nan
植 sik
人氣 popular
人氣 popularity
順利 smooth
美術 art
光明 light
平安 safe
平安 peace
哈利 harry
事務所 firm
垂直 vertically
垂直 perpendicular
垂直 vertical
同學 classmates
同學 classmate
網上 online
主辦 hosting
主辦 hosted
技能 skills
技能 skill
帆 sail
帆 sails
雅典 athens
姓氏 surname
立場 position
豐富 abundant
豐富 rich
砂 sand
上方 above
男孩 boy
男孩 boys
梨 pear
梨 pears
加速 acceleration
加速 accelerate
感情 emotion
感情 relationship
感情 emotions
感情 feelings
狐 fox
重複 duplicate
自殺 suicide
利物浦 liverpool
比利時 belgium
智慧 intelligence
智慧 wisdom
尺寸 sizes
尺寸 dimensions
尺寸 size
嫁 marry
幸 fortunate
樂隊 band
樂隊 bands
信徒 believers
信徒 devotees
同志 comrade
騎 riding
騎 ride
體育館 arena
體育館 gym
體育館 gymnasium
體育館 stadium
逆 inverse
逆 reverse
鐘 zhong
鐘 clock
鐘 jong
鐘 chung
鐘 bell
分享 shared
分享 sharing
分享 share
分享 shares
班機 flight
入圍 finalist
入圍 shortlisted
入圍 finalists
時報 times
擴大 expanding
擴大 expanded
擴大 expansion
擴大 enlargement
擴大 enlarged
擴大 expand
讀者 readership
讀者 readers
讀者 reader
有名 famous
指數 index
指數 exponential
指數 indexes
指數 indices
猴 monkey
裂 cleft
帝王 imperial
撰寫 write
撰寫 written
撰寫 writing
絕對 absolutely
絕對 absolute
重點 focus
感覺 feel
感覺 feels
感覺 feeling
左翼 left
九州 kyushu
扁 bian
種族 races
種族 race
種族 ethnicity
限 limited
限 limit
總裁 ceo
休息 break
休息 resting
休息 rest
曲目 track
曲目 tracks
東區 east
定期 regular
定期 periodical
定期 periodic
反抗 revolt
殺害 killing
席位 seats
穿越 crossing
株 strain
株 strains
管制 controls
轄區 bailiwick
咖啡 coffee
胸 chest
胸 breast
眼睛 eyes
眼睛 eye
亂 messy
亂 mess
星座 constellation
星座 constellations
星座 horoscope
否則 otherwise
貴族 noble
貴族 nobility
殺死 slay
訊息 message
訊息 messages
浪漫 romance
浪漫 romantic
窗 windows
窗 window
主權 sovereignty
主權 sovereign
探索 exploring
探索 explore
探索 exploration
探索 discover
探索 discovery
簽約 signing
參賽者 contestant
參賽者 contestants
晚間 evening
望遠鏡 binoculars
望遠鏡 telescope
望遠鏡 telescopes
手槍 pistols
手槍 pistol
月份 months
月份 month
軸 shaft
軸 axes
軸 axle
軸 axis
內地 interior
內地 inland
內地 hinterland
內地 mainland
電車 tram
電車 trolley
電車 trams
電車 tramway
觀光 sightseeing
唇 lips
唇 lip
理工 polytechnic
特區 sar
緊急 urgent
適合 suitable
適合 fit
弟子 disciple
價格 prices
價格 price
精選 featured
銅 copper
銅 bronze
單一 mono
單一 single
象徵 symbol
象徵 symbolic
倪 ni
部署 deployments
部署 deploy
部署 deploying
部署 deployment
精靈 genie
精靈 elf
百年 centennial
事實 facts
事實 truth
閣 gak
巨人 giants
巨人 giant
梓 azusa
無限 infinite
無限 infinity
無限 limitless
無限 unlimited
王后 queen
永遠 always
永遠 forever
充分 fully
福岡 fukuoka
難 hard
難 difficult
污染 contamination
污染 pollution
戰術 tactics
戰術 tactic
戰術 tactical
宿舍 dormitory
宿舍 dorm
宿舍 dorms
宿舍 hostel
追求 quest
追求 pursuit
衛生 hygienic
衛生 sanitary
衛生 hygiene
衛生 sanitation
南斯拉夫 yugoslav
南斯拉夫 yugoslavia
符號 symbols
符號 symbol
誕生 born
郝 hao
議題 topics
緬甸 burma
緬甸 myanmar
爵 jenn
七十 seventy
昆明 kunming
規範 norms
規範 normative
規範 norm
環球 universal
環球 globe
彬 bin
燈 lights
燈 lamp
交換 swap
交換 exchange
交易所 exchanges
交易所 exchange
印象 impression
印象 impressions
乳 milk
提前 early
神奇 amazing
神奇 magic
神奇 magical
週刊 weekly
示威 demonstration
示威 demonstrations
吐 spit
撞擊 impact
撞擊 collision
傑出 outstanding
外圍 peripheral
日子 days
種子 seeds
種子 seed
慕容 murong
俞 yu
樂園 paradise
排行 ranking
標本 specimen
標本 specimens
瀑布 waterfalls
瀑布 waterfall
瀑布 falls
呈現 presenting
維護 maintenance
萍 ping
搜尋 search
搜尋 searching
米蘭 milan
德州 texas
威尼斯 venice
答 answer
折 fold
鼓勵 encourage
鼓勵 encouraging
鼓勵 encouragement
考試 examinations
考試 examination
考試 exam
考試 exams
展覽 exhibit
展覽 exhibition
展覽 exhibits
展覽 exhibitions
柬埔寨 cambodia
希特勒 hitler
競選 campaigning
輸入 input
輸入 enter
處理器 processor
處理器 processors
無效 null
無效 invalid
贊助 sponsorships
贊助 sponsored
贊助 sponsor
贊助 sponsorship
保守 conservative
真人 masato
幫忙 help
金剛 vajra
競賽 competitions
競賽 race
競賽 competition
競賽 contest
場地 venue
場地 venues
灣仔 wanchai
神話 myths
神話 mythology
神話 myth
超人 superman
股票 equities
股票 stocks
股票 stock
實現 realizing
實現 realization
實現 achieving
實現 achieve
八十 eighty
出局 out
瑪麗 mary
戰場 battlefield
戰場 battleground
平等 equality
平等 equal
價 price
聽 listen
困難 difficulty
困難 difficulties
困難 difficult
機車 scooter
機車 motorcycle
機車 locomotive
危險 dangerous
危險 danger
強大 strong
強大 powerful
技巧 tricks
技巧 skill
技巧 technique
外國 foreign
瓦爾 val
帽 cap
帽 hat
帽 caps
公寓 flat
公寓 condo
公寓 apartment
公寓 apartments
接管 takeover
一面 side
奧運會 olympics
聯絡 liaison
聯絡 contact
漢語 chinese
下載 download
下載 downloads
下載 downloading
獅子 lion
獅子 lions
裡面 inside
梯 ladder
修道院 monastery
修道院 convent
修道院 abbey
租借 leasing
租借 lease
總監 superintendent
地中海 mediterranean
釋放 release
釋放 releasing
戰艦 battleship
戰艦 warships
戰艦 warship
登記 register
登記 registration
黃色 yellow
提案 proposal
學士 bachelor
批判 critique
批判 criticism
批判 critical
傀儡 puppets
傀儡 puppet
馬力 horsepower
馬力 malik
熟悉 familiar
海水 seawater
直徑 diameter
直徑 diameters
聖經 bible
聖經 biblical
村民 villager
村民 villagers
威爾斯 wales
招生 admissions
招生 admission
招生 enrolment
招生 enrollment
拱 arch
現有 existing
銀河 galactic
銀河 galaxy
寶貝 baby
創辦人 founder
公會 guild
地質 geological
地質 geology
政委 commissar
歐盟 eu
實力 strength
多倫多 toronto
桓 huan
桓 hwan
初步 preliminary
獎金 bonus
獎金 bonuses
營業 open
閱讀 read
閱讀 reading
檢查 checking
檢查 check
增強 enhancements
增強 enhancement
增強 enhanced
法拉 fara
法拉 farah
聲稱 claiming
聲稱 claimed
恐 terror
神父 father
沙漠 desert
沙漠 deserts
腿 legs
腿 leg
橫濱 yokohama
障礙 barriers
障礙 obstacles
障礙 obstacle
炸彈 bomb
炸彈 bombs
棠 tong
空氣 air
外界 outsiders
小孩 kids
小孩 kid
法令 decrees
法令 edict
法令 decree
多種 multiple
保險 insurance
遺址 ruins
沖繩 okinawa
煤 coal
一旦 once
慢 slow
親自 personally
姐姐 sis
姐姐 sister
單打 singles
子彈 bullet
週期 cycles
週期 periodicity
週期 cycle
彩虹 rainbow
彩虹 rainbows
千瓦 kilowatts
千瓦 kilowatt
千瓦 kw
賽車 racing
模仿 imitate
模仿 imitation
模仿 parody
一代 generation
一代 generations
論壇 forums
論壇 forum
祖先 ancestors
祖先 ancestral
祖先 ancestor
廣島 hiroshima
庚 geng
複雜 complexity
複雜 complex
複雜 complicated
戰略 strategies
三星 samsung
復興 renaissance
復興 revival
個性 individuality
個性 personality
包圍 siege
包圍 surround
教室 classroom
教室 classrooms
平行 parallel
平行 parallelism
自主 autonomy
自主 autonomous
預定 booking
金星 venus
寄生 parasitic
寄生 parasite
歌詞 lyric
歌詞 lyrics
拯救 salvation
拯救 rescue
型態 type
病人 patients
病人 patient
消防 fire
消防 firefighting
優惠 preferences
優惠 offer
優惠 discount
優惠 offers
公頃 hectare
公頃 hectares
搖滾 rocking
搖滾 rock
修訂 revision
勞工 labour
勞工 labor
前面 front
囊 capsule
寺院 monastery
寺院 monasteries
執政 ruling
對外 externally
織田 oda
顧 gu
專題 topic
專題 topics
專題 theme
刊登 publish
未知 unknown
氣候 climatic
氣候 climate
頻率 frequencies
頻率 frequency
徑 keng
偵探 detective
里昂 lyon
里昂 lyons
提醒 alerts
提醒 reminders
提醒 alert
提醒 remind
提醒 reminder
友好 friendly
片段 fragment
片段 snippet
片段 fragments
片段 snippets
片段 clip
割 cut
劇團 troupe
泡 bubble
政治局 politburo
諮詢 consultation
諮詢 consult
岑 cen
分離 secession
分離 separation
分離 separate
品質 quality
品質 qualities
可見 visible
液 fluid
液 liquid
詩人 poet
辦法 method
資產 asset
資產 assets
紀錄片 documentary
名詞 noun
停車場 parking
羅伯特 robert
孟加拉 bengal
夢想 dream
夢想 dreams
覆蓋 override
覆蓋 cover
覆蓋 overwrite
寫作 write
寫作 writing
弦 chord
弦 string
青海 qinghai
截止 cutoff
溝通 communication
溝通 communicate
溝通 communicating
日記 journal
日記 diary
大地 earth
醇 alcohol
苯 benzene
珠海 zhuhai
即時 instant
即時 immediate
世代 generation
世代 generations
王室 royalty
移植 transplants
移植 transplantation
移植 transplanting
移植 transplant
四季 seasons
決議 resolution
考古 archeological
考古 archeology
考古 archaeological
考古 archaeology
姐妹 sisters
姐妹 sister
草原 grassland
草原 grasslands
草原 prairie
草原 steppe
草原 savanna
發音 pronounced
發音 pronunciation
發音 pronounce
高地 upland
高地 highlands
高地 highland
高地 terra
高地 heights
王位 throne
省份 province
省份 provinces
試驗 experiment
試驗 testing
試驗 experiments
試驗 test
習慣 habits
習慣 habit
忍 shinobu
酮 ketone
資金 funds
脫 strip
神奈川 kanagawa
忍者 ninja
忍者 ninjas
機制 mechanisms
機制 mechanism
禹 woo
尤其 especially
紙 paper
降落 landing
鳳凰 phoenix
五個 five
肇 hajime
喜愛 favorite
洪水 flood
洪水 flooding
洪水 floods
防衛 defense
防衛 defence
相當於 equivalent
法定 statutory
委託 commissioning
委託 commissioned
輸出 output
首映 premiere
首映 premieres
水利 hydraulic
藥 medicine
思考 thinking
思考 reflections
思考 reflection
慶祝 celebrating
慶祝 celebrate
慶祝 celebration
認證 certify
認證 authentication
認證 certification
認證 certified
生長 growing
生長 grow
老人 elderly
突厥 turkic
韻 rhyme
情人 lovers
情人 lover
放置 placing
移交 handover
晴 sunny
性別 gender
性別 sex
腔 cavity
新生 freshmen
雁 goose
雁 geese
夏威夷 hawaii
夏威夷 hawaiian
邊界 boundaries
邊界 borders
邊界 border
邊界 boundary
蛤 clam
蛤 clams
普及 universal
差距 disparity
差距 gaps
差距 disparities
差距 gap
盒 box
豬 pigs
豬 pig
牆 wall
牆 walls
北洋 beiyang
貨幣 currency
貨幣 currencies
貨幣 monetary
鶴 cranes
鶴 crane
隸屬 affiliation
添 tim
微軟 microsoft
企圖 attempted
企圖 attempts
企圖 attempt
蝴蝶 butterfly
蝴蝶 butterflies
廢止 repealed
廢止 repeal
廢止 abrogation
廢止 repealing
社團 associations
鯨 whales
鯨 whale
優勢 superiority
優勢 advantages
優勢 advantage
前任 ex
舌 tongue
現實 reality
形態 morphology
真相 truth
步行 walking
步行 walk
車廂 compartment
韓語 korean
日圓 yen
礁 reef
基督徒 christian
基督徒 christians
假設 hypothesis
假設 assumption
假設 assumptions
假設 hypothetical
假設 assuming
搭配 mix
轉移 transfer
轉移 transference
周邊 perimeter
周邊 surrounding
周邊 peripheral
周邊 nearby
繁忙 busy
清真寺 masjid
清真寺 mosques
清真寺 mosque
排除 exclude
排除 exclusion
排除 exclusions
輔助 complement
輔助 subsidiarity
輔助 auxiliary
颶風 hurricane
颶風 hurricanes
塞爾維亞 serbia
錯 wrong
仿 imitation
曼谷 bangkok
嘉義 chiayi
加利福尼亞 california
婦女 women
改進 improved
改進 improvement
改進 improvements
改進 improving
改進 improve
正義 justice
正義 righteous
艇 boats
艇 boat
模擬 analogue
模擬 simulations
模擬 analog
模擬 simulation
伊斯蘭 islamic
伊斯蘭 islam
最強 strongest
貨物 cargo
貨物 goods
局部 partial
局部 local
局部 partially
木星 jupiter
客家 hakka
天才 genius
天才 talent
影響力 impact
影響力 influence
附屬 affiliate
婷 ting
海峽 strait
海峽 straits
海峽 channel
她們 they
保育 conservation
爪 claw
爪 paw
爪 claws
筆 pencil
筆 pen
筆 pens
垃圾 trash
垃圾 rubbish
垃圾 garbage
孔子 confucius
音樂會 concert
音樂會 concerts
推進 propulsion
推進 advancing
國籍 nationality
轟炸機 bomber
轟炸機 bombers
要塞 stronghold
要塞 fortress
要塞 fort
平定 pacification
黎明 dawn
巴勒斯坦 palestine
跨越 crossing
暖 warm
刺激 stimulation
刺激 stimulus
刺激 stimulate
刺激 stimulating
彪 biao
道教 taoist
道教 taoism
借用 borrowing
借用 borrow
租 rent
勇士 warriors
勇士 warrior
因子 factor
姐 sis
向西 westward
儲存 stockpiling
儲存 storage
儲存 stockpiles
卡通 toon
卡通 cartoon
卡通 cartoons
成年 adulthood
成年 adult
職位 positions
職位 position
供奉 offerings
繁殖 propagation
繁殖 breeding
繁殖 breed
繁殖 reproduction
事後 afterwards
實驗室 laboratory
實驗室 laboratories
實驗室 lab
敘述 narratives
敘述 narrative
敘述 descriptive
水晶 crystal
水晶 crystals
跟隨 follow
秘魯 peru
反射 reflective
反射 reflex
反射 reflection
反射 reflections
那個 that
訊號 signals
訊號 signal
血液 blood
後方 rear
日常 everyday
依靠 relying
主人 master
審查 reviews
審查 review
審查 vetting
審查 censorship
分解 decomposing
分解 decomposition
除非 unless
福音 gospel
馬德里 madrid
可能性 possibilities
可能性 likelihood
可能性 probability
可能性 possibility
較高 higher
標示 marking
標示 mark
經濟學 economics
草地 grassland
草地 lawn
草地 grass
草地 meadow
中午 noon
中午 midday
減 decrease
減 minus
談判 negotiation
談判 negotiating
談判 negotiate
談判 negotiations
流通 circulation
流通 flow
流通 circulating
流通 circulate
費用 fee
費用 cost
費用 expenses
費用 costs
費用 fees
購物 shop
購物 shopping
重慶 chongqing
彰化 changhua
天氣 weather
加里 gary
最少 minimum
撤銷 avoidance
撤銷 revoke
撤銷 undo
外觀 facade
外觀 appearance
氣體 gas
氣體 gases
喇嘛 lama
盟軍 allied
盟軍 allies
灰色 gray
灰色 grey
妍 yeon
累積 accumulate
累積 accumulated
累積 cumulative
累積 accumulation
秩序 order
蘇丹 sudan
侵略 invasion
侵略 aggression
鋼琴 piano
監獄 prisons
監獄 jail
監獄 prison
徐州 xuzhou
促進 promoting
區間 interval
邊境 borders
邊境 border
邊境 frontier
獵 hunt
獵 hunting
遺產 heritage
遺產 legacy
遺產 inheritance
俄國 russia
獨特 unique
電氣 electrical
電氣 electric
股權 equity
為什麼 why
評估 assessment
評估 assessments
評估 evaluation
記憶體 ram
記憶體 memory
擴展 extended
擴展 extension
擴展 extend
擴展 expansion
擴展 expand
飯店 hotel
飯店 restaurants
飯店 restaurant
建國 statehood
建國 founding
烯 ene
龐 pang
解放軍 sla
解放軍 pla
下游 downstream
較大 larger
較大 bigger
泰山 tarzan
每月 monthly
更換 replace
更換 replacement
快樂 joy
快樂 happy
守護 guardian
守護 guard
守護 guarded
法語 french
頭部 head
玩具 toy
玩具 toys
盆地 basins
盆地 basin
增長 growth
粉絲 fans
粉絲 fan
消除 elimination
消除 eliminate
拖 drag
拖 tow
畫家 painters
畫家 painter
消滅 destroy
消滅 extermination
形狀 shapes
形狀 shape
兵器 weapons
兵器 weapon
迫害 persecution
配偶 spouse
配偶 spouses
報紙 newspaper
天文學家 astronomers
天文學家 astronomer
硫 sulfur
硫 sulphur
腰 waist
強化 enhanced
強化 intensification
強化 enhancements
強化 reinforcement
地產 property
天堂 heaven
天堂 paradise
代表性 representation
關鍵 key
人力 manpower
約克 york
設計師 designers
設計師 designer
框架 frames
框架 framework
框架 frame
框架 frameworks
槍管 barrel
抑制 inhibition
抑制 curb
抑制 suppression
室內 indoor
室內 indoors
互動 interaction
互動 interacting
互動 interactions
互動 interact
互動 engagement
互動 interactive
突擊 assault
西蒙 simon
中等 medium
中等 moderate
武士 samurai
淡 pale
淡 fade
棚 shed
等於 equals
巨星 superstar
國旗 flag
保加利亞 bulgaria
充足 sufficiency
酯 ester
判決 judgement
判決 judgment
判決 verdict
羅馬尼亞 romania
入境 inbound
入境 entry
案例 case
案例 cases
提示 tips
提示 cue
提示 tip
提示 hint
周圍 around
短暫 transient
職員 clerk
原料 ingredients
服裝 apparel
服裝 clothes
服裝 clothing
服裝 costume
服裝 costumes
雷達 radar
排球 volleyball
狙擊 sniping
狙擊 sniper
滅絕 extinct
滅絕 extinction
滅絕 extermination
納粹 nazi
納粹 nazis
勞動 labour
勞動 labor
確保 ensure
溫泉 spa
溫泉 onsen
航行 sail
航行 navigation
航行 sailing
券 voucher
流亡 exile
流亡 exiled
吹 blow
傾向 propensity
傾向 tendencies
傾向 tendency
傾向 inclination
修復 repair
修復 fix
修復 restoration
九十 ninety
癌 carcinoma
癌 cancer
瓶 bottle
領地 territory
出生地 birthplace
飲食 cuisine
飲食 dietary
飲食 eating
飲食 diet
社會主義 socialist
社會主義 socialism
輻射 radioactive
輻射 radioactivity
輻射 radiation
輻射 fallout
驚 shock
驚 surprised
女友 girlfriend
奶 milk
壓 pressure
季節 seasonal
季節 season
季節 seasons
生態 ecological
生態 ecology
資深 senior
雞 chicken
直升機 helicopter
直升機 helo
直升機 chopper
直升機 helicopters
夥伴 partner
夥伴 partners
床 beds
床 bed
信任 trust
信任 trusted
袋 bag
袋 bags
各省 governorates
各省 provinces
踢 kick
重力 gravity
判斷 judgement
判斷 judgment
判斷 judging
驅逐艦 destroyers
驅逐艦 destroyer
散文 prose
秘書 secretary
棕 brown
藥物 drugs
藥物 medicine
藥物 medication
藥物 drug
複製 replication
複製 duplicate
複製 copy
複製 reproduction
複製 copying
捐 donation
捐 donate
江蘇 jiangsu
哈佛 harvard
指揮官 commander
院校 colleges
提議 proposal
提議 proposition
提議 proposals
交付 delivery
交付 deliver
交付 deliveries
傷害 harm
傷害 hurt
吉爾 jill
不利 unfavourable
死者 victim
古蹟 monuments
有利 favorable
類別 category
類別 classes
類別 class
類別 categories
復活 resurrection
邊緣 edge
邊緣 borderline
邊緣 edges
邊緣 fringe
酷 cool
辭職 resignation
辭職 resign
視覺 visual
視覺 vision
精英 elite
虛構 fictitious
虛構 fictional
虛構 fiction
可惜 pity
支線 feeder
假期 vacations
假期 holiday
假期 vacation
假期 holidays
軍人 soldier
言論 rhetoric
樊 fan
耿 geng
茹 ru
採訪 interview
採訪 interviews
加藤 kato
芯 hart
陰 yin
陰 overcast
結局 ending
旋轉 rotating
旋轉 rotation
旋轉 rotate
旋轉 spin
額外 extra
平日 weekday
平日 weekdays
美食 cuisine
札幌 sapporo
軍官 officer
近期 recently
近期 recent
物理學 physics
具體 specific
具體 concrete
黎巴嫩 lebanese
黎巴嫩 lebanon
領導人 leader
領導人 leaders
比率 ratio
比率 ratios
作業 homework
武力 force
醫師 doctor
三重 triple
器官 organs
器官 organ
山谷 valley
山谷 valleys
創意 creatives
創意 creativity
創意 creative
牛津 oxford
當代 contemporary
協定 agreement
協定 agreements
客機 airliner
行人 pedestrians
行人 pedestrian
規格 specifications
規格 specification
規格 specs
規格 spec
終止 termination
終止 terminate
波士頓 boston
雕 eagle
雕 hawk
地獄 hell
混淆 confusion
混淆 confuse
混淆 confused
混淆 confusing
參數 parameter
參數 arguments
藏族 tibetans
藏族 tibetan
降雨量 rainfall
火力 firepower
區劃 zoning
共用 shared
共用 sharing
共用 share
插曲 episode
樂器 instruments
樂器 instrument
清理 cleanup
來賓 guest
來賓 guests
促使 prompting
耶路撒冷 jerusalem
雕塑 sculpture
雕塑 sculptures
雕塑 statue
藝術家 artists
藝術家 artist
廣西 guangxi
命運 destiny
命運 fate
料理 cuisine
房子 house
房子 houses
崇拜 cult
崇拜 worship
積分 points
積分 integral
擔心 worried
例外 exceptions
例外 exception
布拉格 prague
指南 guide
指南 guides
插入 inserting
插入 insert
插入 insertion
明珠 pearl
螺旋 helix
螺旋 spiral
珊瑚 corals
珊瑚 coral
遼 liao
財務 financial
財務 finance
財務 finances
預測 projection
預測 predictions
預測 prediction
預測 forecasts
預測 projections
預測 forecast
期望 expectation
期望 expectations
準則 guideline
呼籲 appeals
呼籲 appeal
公平 equity
公平 fair
公平 fairness
電池 battery
電池 batteries
尋求 seek
窄 narrow
窄 narrower
失蹤 disappearance
失蹤 missing
獵人 hunters
獵人 hunter
葡萄 vitis
葡萄 grape
葡萄 grapes
老闆 boss
介入 intervene
皇室 royalty
皇室 royal
零售 retailing
零售 retail
富豪 regal
富豪 billionaire
富豪 volvo
靈魂 soul
靈魂 souls
杏 apricot
殼 shell
殼 shells
工程師 engineers
工程師 engineer
祖母 grandmother
春天 spring
用法 usage
吋 inch
神戶 kobe
省級 provincial
手術 surgery
手術 operation
行李 baggage
行李 luggage
旁白 narrator
穿著 wearing
司徒 stuart
癌症 cancer
練習 practice
練習 practicing
練習 exercise
機體 organism
分散 scattered
奇怪 strange
氮 nitrogen
同性戀 homosexuality
同性戀 gay
抱 hug
圖書 books
圖書 book
岡山 okayama
情感 emotion
情感 emotional
情感 emotions
鴨 ducks
鴨 duck
妖 demon
桂林 guilin
臉 faces
臉 face
開啟 open
效應 effect
效應 effects
交叉 cross
交叉 crossover
分數 fractions
分數 scores
分數 score
分數 fraction
分數 fractional
遊客 visitors
遊客 tourists
遊客 tourist
分行 branches
分行 branch
騎兵 cavalry
騎兵 trooper
強制 mandatory
強制 compulsion
強制 coercion
強制 compulsory
女生 girl
女生 girls
蒸汽 steam
蒸汽 vapour
鍵 keys
鍵 key
鍵 bond
人事 personnel
可汗 khan
氯 chlorine
干涉 intervene
干涉 interference
干涉 intervention
經理 manager
雅各 jacob
小提琴 violin
小提琴 fiddle
射手 shooter
射手 shooters
假日 holiday
假日 holidays
到期 expires
到期 due
到期 maturity
到期 expire
到期 expiration
敵 enemy
物業 property
預算 budget
預算 budgets
釜山 pusan
釜山 busan
閃 flash
雕像 statues
雕像 statue
敘利亞 syria
敘利亞 syrian
收回 withdraw
錄影帶 videotape
短期 short
貨 cargo
首頁 home
首頁 homepage
西貢 saigon
引力 gravity
德文 german
霧 mist
霧 foggy
霧 fog
市鎮 communes
市鎮 municipalities
免疫 immune
免疫 immunization
免疫 immunity
編碼 encode
編碼 code
編碼 coding
編碼 encoding
吸 suck
啤酒 beer
星期五 fri
星期五 friday
里程 mileage
上訴 appeals
上訴 appeal
老虎 tiger
老虎 tigers
敏感 sensitive
敏感 sensitivity
敏感 sensibility
向前 forward
時裝 fashion
富有 rich
富有 wealthy
火炮 artillery
每周 weekly
任何人 anyone
簡體 simplified
魔女 witch
擴張 dilated
擴張 expanding
擴張 expand
擴張 expansion
斷 broken
甲基 methyl
腦 brain
腦 brains
進步 progress
進步 progressive
德語 german
強度 intensity
強度 strength
白金 platinum
走廊 hallway
走廊 corridor
拆卸 dismantling
資料庫 databases
資料庫 database
金額 amounts
金額 amount
金額 sums
表格 forms
表格 form
創新 innovative
創新 innovations
創新 innovation
修正案 amendment
修正案 amendments
辦事處 office
佛山 foshan
叉 fork
海灣 gulf
海灣 bay
希爾 hill
錄音 recording
農民 peasants
農民 peasant
農民 farmer
農民 farmers
赤道 equator
赤道 equatorial
回憶 memories
回憶 memory
有趣 interesting
雕刻 engraving
雕刻 carve
雕刻 sculpture
雕刻 carving
除外 excepting
除外 except
金色 golden
金色 gold
理性 reason
理性 rationality
理性 rational
外表 appearances
外表 appearance
外表 exterior
承諾 promises
承諾 promise
承諾 commitment
承諾 commitments
吉田 yoshida
稅 tax
稅 taxes
缸 cylinder
童年 childhood
催化 catalyzing
催化 catalytic
催化 catalyst
百科全書 encyclopedia
百科全書 encyclopaedia
橘 orange
橘 tachibana
建築師 architect
建築師 architects
總是 always
彩色 color
彩色 colour
彩色 colored
工會 union
工會 unions
蜘蛛 spider
離婚 divorce
離婚 divorced
享受 enjoy
享受 enjoyment
享受 enjoying
享受 enjoyed
鑽石 diamond
鑽石 diamonds
吉祥 auspicious
週五 fri
週五 friday
週五 fridays
三菱 mitsubishi
肌 muscle
美女 beautiful
美女 beauties
美女 beauty
神經 nerve
神經 nerves
助手 assistant
助手 aide
溫哥華 vancouver
地帶 strip
混亂 confusion
混亂 chaos
大堂 lobby
裸 naked
裸 nude
裸 bare
校區 campus
馬丁 martin
衝擊 impact
衝擊 shock
衝擊 shocks
廠商 vendor
廠商 manufacturer
光學 optical
光學 optics
卵 eggs
氟 fluoride
氟 fluorine
出租 taxi
欄 column
欄 columns
意志 wills
軍方 military
真理 truths
真理 truth
過度 excessive
街頭 street
伺服器 servers
伺服器 server
清晰 clarity
背面 tails
醫藥 medicine
醫藥 medication
醫藥 medicines
推理 inference
推理 reasoning
變更 modify
變更 changes
變更 variation
變更 change
新手 beginner
新手 rookie
燒 burn
燒 burning
渡邊 watanabe
猶太人 jewish
猶太人 jews
分歧 disagreement
分歧 differences
分歧 divergence
分歧 disagreements
分歧 divergent
怪物 monster
書寫 written
書寫 writing
色情 pornography
色情 erotic
色情 pornographic
色情 porn
股東 shareholders
股東 stockholders
股東 shareholder
曝光 expose
曝光 exposed
曝光 exposing
曝光 exposure
飛行員 pilot
